a	a как русская
b	б «как палочка такая, и животик как бы вправо смотрит»
b	бэ «как палочка такая, и животик как бы вправо смотрит»
b	«бэ как палочка такая, и животик как бы вправо смотрит»
b   «как пудреница, влево открытая»
b   «бэ как пудреница, влево открытая»
b   «б как мягкий знак»
b   «бэ как мягкий знак»
b   «как русская вэ»
b   «бэ как русская вэ»
b   «как русская р вверх тормашками»
b   «бэ как русская р вверх тормашками»
c	эс как русская эс
c	эс как русская сэ
c	как русская сэ
c	как русская эс
c   эс как ЕВРО без палочки
c   «к» английская.
d	дэ как пудреница, вправо открытая
d   b в другую сторону
d   (а b как палочка…)
e	как русская «e»
f	эф английская (гэ с палочкой)
f   эф жирафиком
f   эф как флажок
g	гэ как русская д
g   джи как русская д
g   как Германия
g   там, где русская «п» на клавиатуре
g   как конь
g   джи как гугл
g   жэ как «Geländewagen»
h	аш — как стульчик такой
h	эйч — как стульчик такой
h   аш как постоянная Планка
h   как «н» русская когда заглавная
h   Н как водород
i	палочка с точечкой
i   и белорусская
i   «и белорусская»
i   и украинская
i   «и украинская»
i   латинская и с точкой
i   латинская i с точкой
i   перевёрнутый восклицательный знак
j	жи как поварёшка
j	джей как поварёшка
j	йот как поварёшка
j   крючочек с точечкой
j   ручка у зонтика
h   «Джей Севен» (сок в коробке)
j   клюшка
h   кочерга
k	ка русская
k   как «к» с палочками
k   «к как наша»
l	эль — «большая палочка»
l   перевёрнутая «г» когда заглавная
m	эм — как расчёска
m   как Макдональдс
m   как русская тэ
n	эн — как русская пэ
n   как номер
n   русская «и» наоборот
o	о — как зеркальце
o   кружочком
p	пэ, как русская эр
p   как флажочек направо
q	ку, как флажок налево
q   как русская эр наоборот
r	как гэ
r   как тросточка
r   как «я» наоборот
s	эс как доллар (или змейка)
s	эс как доллар
s	эс как змейка
s   эс как Супермен
s   эс как интеграл
t	тэ как зонтик сломанный
t   тэ как могильный крестик
u	у как русская и
u   как пэ верх ногами
u   как «у» подковкой
v	вэ как галочка
v   как букетик
v   вэ-победа
v   виктори
w	дубльвэ как две галочки
w   первёрнутая «М», как значок «Volkswagen»
w   первёрнутая «М»
w   как значок «Volkswagen»
x	икс
x   хэ русская
y	игрек
y   как русская у
y   как русская у,
y   вторая буква в слове «хуй»
y   рогатка.
z	зэт как Зорро
z   как значок «Опеля»

@	собачка
@   обезьяна
@   ухо
@   улитка
@   суши
@   «а» в кружочке
@   коммерческое at.
#	решеточка
#   тюрьма
#   октоторп
#   sharp
#   диез
#   в британской устной речи называется hash (хэш), а в американской — pound (паунд)
$	доллар как доллар
$   dollar sign   
%	процент
^	крышка от домика
^   циркумфлекс
^   карет
&	восьмерка с закорючкой
&   амперсанд
&   коммерческое «и»
&   конъюнкция
*	звездочка
*   снежинка
*   звёздочка
*   астериск
(   левая скобочка
(   открывающая круглая скобка
)	правая скобочка
)   закрывающая круглая скобка
<   меньше
<   открывающая угловая скобка
>	больше
>   закрывающая угловая скобка
/   палочка
/   падающая вправо
/   палочка, падающая вправо
/   дробь
\	палочка, падающая влево
\   фембэкслеш
\   хэк
/   прямая косая черта
/   прямой слеш
/   слеш
\   обратная косая черта
\   обратный слеш
+	плюсик
+   крестик	плюс
~	линия такая волнистая (она на букве ё)
~   консоль
~   тильда
-	средний дефис
-   для блондинок — тире
-   дефис
-   дефисоминус
–   короткое тире
—	тире
—	длинное тире
_	нижнее подчеркивание
_   нижний дефис
_   podjopnik
_   «нижний пробел»
_   упавший минус
_   подчёркивание
_   подчерк
_   андерлайн
_   андерскор
_   андерстрайк
_   саблайн
_   земля
_   жесткий_пробел
,	запятая
'	такая запятая, сверху, над буквами
'	такая запятая над буквами
'   апостро́ф
"	кавычка
"   обычная кавычка
"   программистская кавычка, как знак дюйма
"   универсальная кавычка
"   кавычка универсальная
"   машинописная кавычка
«   кавычка… ну… такая, как два меньше
«   левая кавычка
»   кавычка… ну… такая, как два больше
»	правая кавычки
:   двоеточие
?   знак вопроса
;   точка с запятой
.   точка
